网纹瓜,¥7.20,¥11.60,¥11.60
特小凤西瓜,¥6.00,¥6.60,¥6.60
西瓜,¥8.03,¥8.03,¥8.03
木瓜,¥11.00,¥12.40,¥12.40
金针菇,¥4.00,¥6.00,¥6.00
香菇,¥6.00,¥9.00,¥9.00
杏鲍菇,¥6.00,¥8.00,¥8.00
平菇,¥4.00,¥6.00,¥6.00
毛豆,¥11.00,¥12.00,¥12.00
豇豆,¥8.00,¥13.00,¥13.00
荷兰豆,¥10.00,¥13.00,¥13.00
豆角,¥5.00,¥7.60,¥7.60
丝瓜,¥5.80,¥9.00,¥9.00
佛手瓜,¥6.00,¥7.00,¥7.00
冬瓜,¥3.00,¥3.20,¥3.20
南瓜,¥2.00,¥2.20,¥2.20
苦瓜,¥9.00,¥10.00,¥10.00
西葫芦,¥1.80,¥3.60,¥3.60
黄瓜,¥3.20,¥4.60,¥4.60
长茄子,¥3.00,¥4.80,¥4.80
茄子,¥3.20,¥5.60,¥5.60
青椒,¥3.40,¥5.20,¥5.20
尖椒,¥4.00,¥7.20,¥7.20
西红柿,¥4.40,¥6.00,¥6.00
西兰花,¥4.40,¥5.40,¥5.40
